ts,ts_ms,action,card_id,title,status,priority
2026-02-21 15:09:52,1771682992501,todo,,Log test 1,todo,medium
2026-02-21 15:09:52,1771682992566,prog,,Log test 2,progress,medium
2026-02-21 15:09:52,1771682992637,imp,,IMPEDIMENT: Waiting for supervisor feedback,todo,high
2026-02-21 15:14:43,1771683283030,todo,,Log test 1,todo,medium
2026-02-21 15:14:43,1771683283109,prog,,Log test 2,progress,medium
2026-02-21 15:14:43,1771683283189,imp,,IMPEDIMENT: Waiting for supervisor feedback,todo,high
2026-02-21 15:25:26,1771683926658,todo,,New task,todo,medium
2026-02-21 15:25:26,1771683926735,prog,,Task in progress,progress,medium
2026-02-21 15:25:26,1771683926814,add,,Custom task,todo,high
2026-02-21 15:25:38,1771683938457,move,ct3fcnu615bbiicfpzxsmrqq6gc,,progress,low
2026-02-21 15:25:38,1771683938591,note,ct3fcnu615bbiicfpzxsmrqq6gc,,,
2026-02-21 15:25:38,1771683938686,done,ct3fcnu615bbiicfpzxsmrqq6gc,,done,
2026-02-21 15:25:38,1771683938795,delete,ct3fcnu615bbiicfpzxsmrqq6gc,,,
2026-02-21 15:35:27,1771684527687,standup,c9qtwt4babjft8g7y98jkawyapy,Standup — 2026-02-21,,
2026-02-21 15:35:27,1771684527695,imp,cmq7okz4jkpbsjxbo7biyqtf41r,IMPEDIMENT: client call,todo,high
2026-02-22 10:23:54,1771752234736,standup,cnfn58efphibhdfw918hxxxqsyy,Standup — 2026-02-22,,
